"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.7509994506836","80.9199752807617","87.67626953125","98.6120834350586","111.271469116211","104.657890319824","127.603996276855","143.849624633789","132.271286010742","138.822616577148","143.965316772461","164.160110473633","176.930862426758","183.927856445313","174.73063659668","","","",
"Angola","AGO","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.804817199707","174.036361694336","117.858177185059","127.356391906738","156.64697265625","129.017425537109","134.776672363281","168.597549438477","206.017562866211","233.626068115234","167.820114135742","167.915237426758","162.328979492188","190.890869140625","175.377624511719","185.089279174805","183.510406494141","185.854034423828","","",
"Albania","ALB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3049.00610351563","3143.03515625","3284.2294921875","3277.25073242188","3350.19384765625","3741.40380859375","3974.61474609375","4098.1201171875","3983.9091796875","3966.13012695313","3937.48754882813","4010.31762695313","4414.71142578125","4652.24169921875","4963.498046875","5093.17626953125","4990.35546875","5237.24169921875","","",
"Arab World","ARB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","396.095128570096","435.83377655807","439.333227499961","432.281962023151","445.842050052764","446.255569172209","478.206261950397","515.122259321379","520.072423329216","638.189531139875","598.253916639218","620.402147704476","656.934406910089","740.80201229968","808.484673118314","913.620065125529","1034.25101490016","1008.93576145434","","",
"United Arab Emirates","ARE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1922.71801757813","1987.74450683594","2144.70288085938","2172.12622070313","2082.5","1896.00170898438","1879.44177246094","1905.13256835938","2005.78405761719","2381.72705078125","2174.47607421875","2141.98779296875","2074.25170898438","2298.61181640625","2452.849609375","2547.75610351563","2487.88696289063","2468.54931640625","","",
"Argentina","ARG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085.14880371094","1068.59619140625","844.382629394531","864.504333496094","898.362731933594","1051.39343261719","1149.44091796875","1283.34912109375","1358.53247070313","1497.01416015625","1578.81286621094","1648.18774414063","1657.03381347656","1691.37145996094","1640.34033203125","1794.30895996094","1521.07507324219","1916.50415039063","","",
"Armenia","ARM","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.245735168457","121.398132324219","229.910263061523","253.51252746582","244.080352783203","279.515228271484","327.973236083984","363.077667236328","481.996704101563","533.821838378906","606.367248535156","658.384643554688","699.266662597656","827.358215332031","857.311767578125","885.608459472656","880.021362304688","1001.06903076172","","",
"American Samoa","ASM","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
