Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Afghanistan,AFG,..,..,138.822616577148,143.965316772461,164.160110473633,176.930862426758,183.927856445313,174.73063659668,..,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Algeria,DZA,..,282.317810058594,684.265380859375,804.931701660156,829.605651855469,932.823059082031,1022.89001464844,992.569030761719,974.807678222656,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Andorra,AND,..,3049.00610351563,4010.31762695313,4414.71142578125,4652.24169921875,4963.498046875,5093.17626953125,4990.35546875,5237.24169921875,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Angola,AGO,..,71.804817199707,167.915237426758,162.328979492188,190.890869140625,175.377624511719,185.089279174805,183.510406494141,185.854034423828,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Antigua and Barbuda,ATG,..,671.2529296875,985.495239257813,1007.7724609375,1057.53356933594,1081.77966308594,1007.50085449219,986.472717285156,1070.76916503906,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Argentina,ARG,..,1085.14880371094,1648.18774414063,1657.03381347656,1691.37145996094,1640.34033203125,1794.30895996094,1521.07507324219,1916.50415039063,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Armenia,ARM,..,97.245735168457,658.384643554688,699.266662597656,827.358215332031,857.311767578125,885.608459472656,880.021362304688,1001.06903076172,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Australia,AUS,..,2147.53051757813,3770.48828125,3792.08935546875,4179.10546875,4305.78662109375,4413.67333984375,4634.654296875,4816.15380859375,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Austria,AUT,..,2707.22680664063,4465.6591796875,4750.58154296875,4945.44970703125,5082.537109375,5206.01708984375,5404.4658203125,5617.396484375,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Azerbaijan,AZE,..,136.324157714844,712.294738769531,796.3896484375,872.645935058594,968.924987792969,1201.34020996094,1154.96044921875,1163.86193847656,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,"Bahamas, The",BHS,..,1054.52001953125,1750.517578125,1811.93188476563,1803.94250488281,1771.50769042969,1733.60607910156,1810.11767578125,1756.14404296875,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Bahrain,BHR,..,1268.46435546875,1436.65222167969,1714.30261230469,1908.04467773438,2041.37255859375,2333.87719726563,2294.82836914063,2265.28125,..,..,..
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,Bangladesh,BGD,..,27.6120281219482,70.9859237670898,75.8099060058594,78.0645294189453,83.4363174438477,88.3043746948242,88.656982421875,94.3020172119141,..,..,..
