Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Albania,ALB,..,..,1.14387210702181,-0.593875839943507,1.70272325673639,1.17258033070749,0.911932819470778,3.35669382008794,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Algeria,DZA,2.53779295036547,17.9656455392177,1.55364459873819,7.61346775360165,3.47860575934493,3.52190010835373,-0.471459036482159,4.87482781665631,0.780027808797882,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Angola,AGO,..,..,22.9232980412018,12.6692736827601,13.2193834699248,12.2095340038082,-2.93147836683694,-2.905773331859,-6.24304441983597,-21.9591197262127,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Argentina,ARG,0.452353682576415,-1.08689271832544,9.48816096133429,-1.2700343408121,1.84172721981032,-3.90209691463001,4.09323342713091,-2.18241237936913,3.55751330754489,-5.33838850449318,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Armenia,ARM,..,-0.925026916440814,2.11474489105817,10.3009530044858,3.79729065012589,0.68308530706544,-1.71281323626063,-2.25736524443306,9.73489459012104,2.46003373905184,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Australia,AUS,1.39867768003445,3.31930236188585,5.8236465377118,5.5646265051253,0.963741230611447,0.344133610367891,0.901211421212039,0.117555509800567,5.14864567706859,0.742892201115723,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Austria,AUT,4.48156152444558,3.68372778862167,1.51802748219485,-0.396553352106281,-0.232736594467625,0.891034982940113,0.531124724933306,3.63266967451874,0.622111963492841,2.70371373027972,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Azerbaijan,AZE,..,1.87780284476973,17.1183071466018,1.68014029507093,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,"Bahamas, The",BHS,-1.644082283473,5.04379847199814,-1.20901578976415,7.74376354874235,-2.28659316793622,-2.74357044818497,-1.85496971674445,-1.3159890620758,-0.683508593159914,-4.50693678985775,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Bahrain,BHR,..,..,2.75827393788985,10.3725618379084,8.43660023098313,-0.144429055301899,-5.15738574868892,3.49330687920764,6.4751278318022,0.93245038781869,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Bangladesh,BGD,6.9721245661943,5.74798709093245,5.42606862995126,6.25578337364061,5.71030918986794,4.32142926097241,6.0994909063875,6.66179382369818,6.21826101343281,8.03955937502239,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Belarus,BLR,..,9.52350856580435,16.3212709555486,4.95455158437059,-0.465855024864283,3.08946972561534,-4.23402823526658,-5.39369816038095,3.75059343238576,6.79602154020289,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Belgium,BEL,2.81293872060724,2.70349574592987,-1.32566141242698,3.25182366638931,1.00170675160567,1.6504270234537,2.33386931294486,1.66277318960617,1.70804112991189,-0.170707097289721,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Belize,BLZ,14.2557999471617,0.403282735473027,5.35016656971779,5.01828044442831,5.17125884657359,3.64526812155805,12.0750551277285,-0.0586170628903773,-2.61732828656078,-3.18431383465317,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Benin,BEN,10.211839826053,8.40225990979096,3.85775068936822,5.02964838638773,8.38895128600834,5.30881217794365,0.757337829360623,3.06208274756257,4.85794068936877,6.35847498777508,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Bhutan,BTN,..,..,7.22291322807874,3.64784488660807,3.2901687224,5.44733696769978,4.91212864952047,6.837619533874,5.56502586305416,2.7252915707558,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Bolivia,BOL,4.62583696982739,-0.736297004338894,3.74402473923894,4.52585518603115,4.49744761388359,2.28214013833585,3.05558231271326,5.39515575419671,3.67104659878153,3.68503650990559,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Bosnia and Herzegovina,BIH,..,..,-2.26039700323815,-3.07800611405114,2.73223072185385,0.545510658018046,4.55548316614541,4.70092079286049,3.62832123983543,5.33471413813128,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Botswana,BWA,13.5375653244456,4.26287880728722,19.997728572424,-2.44594656602821,10.0035137265231,10.0830684728523,-0.498177448789377,6.57176926893577,-2.00089661563835,0.814579279549349,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Brazil,BRA,-13.0856505222558,4.45344111833555,5.24446697082684,2.49187940937632,4.30446269297242,-0.322635140417503,-2.84161216393944,-3.22638713642563,0.886890914918411,-0.310564987207044,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Brunei Darussalam,BRN,..,4.10436908519578,11.765465686233,5.84530381369414,0.47941361270334,-0.947166458638179,-10.1988164521972,-3.23722015205007,3.91514618374187,-3.71108695276256,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Bulgaria,BGR,-2.72718938634323,3.78565423076888,4.141925916695,1.78478382006213,-0.482257346350835,3.18596414136462,2.61520735405495,6.41522437523815,4.74213552000764,8.21456714974778,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Burkina Faso,BFA,-0.178172061046837,..,..,..,..,..,..,4.39475167229833,5.99215815597185,8.7707935188031,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Burundi,BDI,..,0.956779764387022,-0.0991093721413989,18.388017661061,7.02528261867741,3.22652482198826,12.7813689407147,-5.5960581473967,3.26574877337032,8.2526848980216,..,..
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Cabo Verde,CPV,..,..,3.85060655306349,-1.07983564972528,2.19683290172277,-0.921195597378244,2.86638821454697,5.54701300623783,4.42176406902936,6.46705206846387,..,..
